,0
d_log_volume,0.050826985
d_ticks,0.04330169
d_vol_20,0.04298887
d_vol_5,0.042712852
d_mom_20,0.042402368
d_vol_ratio_20,0.04157092
d_vol_ratio_10,0.041436236
d_vol_trend_5,0.04103636
d_vol_trend_20,0.041019287
d_vol_ratio_5,0.040856276
d_log_ret,0.040464915
d_mom_10,0.03993987
d_vol_trend_10,0.039672412
d_upper_wick,0.039661974
d_lower_wick,0.03899355
d_body_ratio,0.038709827
density_imb_trend,0.03855669
density_runs_trend,0.038205262
d_vol_10,0.038059507
density_vol_trend,0.03805672
d_log_dollar,0.037936345
d_mom_5,0.03785309
density_runs,0.035735223
density_vol,0.035389494
density_imb,0.034613255
d_autocorr_5,0.0
d_autocorr_10,0.0
d_autocorr_20,0.0
